cod;nome;período;homicidios-de-homens-por-armas-de-fogo;homicidios;homicidios-de-jovens;homicidios-de-jovens-homens;homicidios-mulheres-nao-negras;homicidios-homens-nao-negros;homicidio-de-jovens-por-armas-de-fogo;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-mulheres-negras;homicidios-homens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo;homicidios-de-jovens-mulheres;homicidios-homens-negros
13;AM;1989;136.0;321.0;161.0;141;;;82.0;;31.0;;;289.0;9.0;146;20;
29;BA;1989;562.0;1086.0;574.0;527;;;327.0;;80.0;;;1000.0;23.0;591;46;
23;CE;1989;203.0;607.0;299.0;286;;;121.0;;47.0;;;560.0;13.0;216;13;
53;DF;1989;177.0;331.0;185.0;177;;;116.0;;23.0;;;308.0;5.0;182;8;
32;ES;1989;361.0;845.0;349.0;320;;;180.0;;75.0;;;763.0;29.0;395;29;
52;GO;1989;426.0;810.0;344.0;302;;;223.0;;91.0;;;717.0;44.0;471;41;
21;MA;1989;166.0;411.0;174.0;160;;;82.0;;28.0;;;382.0;10.0;176;13;
51;MT;1989;199.0;471.0;180.0;165;;;82.0;;31.0;;;440.0;8.0;207;15;
50;MS;1989;175.0;371.0;168.0;147;;;95.0;;39.0;;;330.0;20.0;197;21;
31;MG;1989;384.0;1216.0;546.0;479;;;223.0;;168.0;;;1047.0;47.0;432;67;
15;PA;1989;328.0;666.0;303.0;276;;;165.0;;51.0;;;615.0;28.0;356;27;
25;PB;1989;201.0;461.0;193.0;169;;;102.0;;52.0;;;409.0;21.0;222;24;
41;PR;1989;457.0;1112.0;501.0;455;;;255.0;;105.0;;;1004.0;39.0;498;45;
12;AC;1989;45.0;95.0;56.0;52;;;28.0;;6.0;;;89.0;3.0;48;4;
17;TO;1989;30.0;63.0;22.0;15;;;13.0;;14.0;;;49.0;6.0;36;7;
28;SE;1989;66.0;139.0;64.0;59;;;3946.0;;15.0;;;124.0;5.0;71;5;
35;SP;1989;2668.0;9179.0;5522.0;5186;;;1821.0;;671.0;;;8508.0;154.0;2822;336;
42;SC;1989;142.0;354.0;168.0;153;;;82.0;;39.0;;;315.0;15.0;157;15;
14;RR;1989;1.0;113.0;61.0;53;;;1.0;;12.0;;;100.0;0.0;1;8;
11;RO;1989;260.0;490.0;188.0;161;;;114.0;;47.0;;;443.0;25.0;285;27;
43;RS;1989;755.0;1561.0;806.0;744;;;447.0;;142.0;;;1419.0;41.0;796;62;
24;RN;1989;121.0;236.0;113.0;108;;;69.0;;14.0;;;222.0;3.0;124;5;
33;RJ;1989;2772.0;4290.0;2310.0;2170;;;1722.0;;304.0;;;3980.0;167.0;2942;140;
22;PI;1989;53.0;142.0;68.0;60;;;30.0;;17.0;;;125.0;7.0;60;8;
26;PE;1989;1607.0;2553.0;1326.0;1235;;;943.0;;173.0;;;2379.0;91.0;1698;90;
27;AL;1989;310.0;805.0;339.0;310;;;143.0;;66.0;;;739.0;21.0;331;29;
16;AP;1989;19.0;39.0;29.0;27;;;13.0;;3.0;;;36.0;1.0;20;2;
24;RN;1990;108.0;200.0;92.0;85;;;58.0;;20.0;;;180.0;9.0;117;7;
43;RS;1990;917.0;1704.0;886.0;826;;;551.0;;157.0;;;1547.0;81.0;998;60;
11;RO;1990;278.0;555.0;223.0;202;;;130.0;;37.0;;;517.0;14.0;293;21;
14;RR;1990;8.0;127.0;63.0;52;;;3.0;;20.0;;;107.0;1.0;9;11;
42;SC;1990;150.0;388.0;158.0;140;;;77.0;;46.0;;;341.0;17.0;167;18;
35;SP;1990;2784.0;9503.0;5640.0;5300;;;1861.0;;679.0;;;8824.0;185.0;2969;340;
28;SE;1990;69.0;151.0;88.0;80;;;5488.0;;13.0;;;138.0;6.0;75;8;
17;TO;1990;21.0;54.0;22.0;19;;;10.0;;7.0;;;47.0;4.0;25;3;
25;PB;1990;206.0;440.0;185.0;172;;;95.0;;41.0;;;399.0;18.0;224;13;
26;PE;1990;1616.0;2742.0;1377.0;1275;;;955.0;;219.0;;;2522.0;111.0;1728;101;
41;PR;1990;488.0;1167.0;537.0;483;;;279.0;;125.0;;;1041.0;50.0;538;54;
15;PA;1990;424.0;748.0;376.0;337;;;242.0;;78.0;;;669.0;35.0;459;39;
31;MG;1990;444.0;1178.0;520.0;457;;;240.0;;148.0;;;1029.0;50.0;494;63;
50;MS;1990;146.0;348.0;156.0;137;;;72.0;;40.0;;;306.0;16.0;162;19;
51;MT;1990;164.0;415.0;155.0;139;;;66.0;;39.0;;;376.0;16.0;180;16;
21;MA;1990;180.0;442.0;199.0;182;;;86.0;;32.0;;;410.0;14.0;194;17;
52;GO;1990;349.0;681.0;309.0;277;;;180.0;;58.0;;;620.0;29.0;380;32;
32;ES;1990;382.0;881.0;384.0;344;;;215.0;;88.0;;;791.0;37.0;419;40;
53;DF;1990;259.0;463.0;251.0;234;;;159.0;;40.0;;;423.0;19.0;278;17;
23;CE;1990;219.0;555.0;253.0;230;;;126.0;;45.0;;;510.0;23.0;242;23;
29;BA;1990;486.0;867.0;437.0;406;;;289.0;;77.0;;;782.0;31.0;523;30;
13;AM;1990;184.0;367.0;207.0;193;;;119.0;;31.0;;;332.0;14.0;201;14;
16;AP;1990;14.0;46.0;22.0;18;;;11.0;;5.0;;;40.0;2.0;17;3;
27;AL;1990;261.0;719.0;284.0;263;;;116.0;;55.0;;;663.0;12.0;273;20;
12;AC;1990;29.0;64.0;33.0;29;;;18.0;;6.0;;;58.0;4.0;33;4;
33;RJ;1990;5236.0;7101.0;3833.0;3616;;;3172.0;;477.0;;;6614.0;312.0;5557;215;
22;PI;1990;32.0;109.0;52.0;50;;;16.0;;5.0;;;104.0;1.0;33;2;
15;PA;1991;448.0;810.0;380.0;344;;;232.0;;72.0;;;737.0;42.0;491;36;
31;MG;1991;472.0;1232.0;541.0;480;;;269.0;;159.0;;;1071.0;43.0;516;60;
50;MS;1991;191.0;388.0;167.0;142;;;106.0;;47.0;;;338.0;24.0;218;24;
51;MT;1991;201.0;452.0;172.0;146;;;98.0;;49.0;;;403.0;26.0;227;26;
21;MA;1991;182.0;470.0;227.0;200;;;118.0;;54.0;;;416.0;21.0;203;27;
52;GO;1991;396.0;852.0;397.0;346;;;222.0;;110.0;;;741.0;44.0;440;51;
32;ES;1991;440.0;968.0;413.0;377;;;229.0;;95.0;;;872.0;32.0;473;36;
53;DF;1991;291.0;489.0;293.0;272;;;209.0;;52.0;;;437.0;23.0;314;21;
23;CE;1991;227.0;607.0;303.0;281;;;139.0;;53.0;;;554.0;15.0;242;22;
29;BA;1991;245.0;596.0;266.0;236;;;128.0;;64.0;;;528.0;20.0;266;29;
13;AM;1991;222.0;403.0;241.0;231;;;141.0;;18.0;;;384.0;11.0;233;10;
16;AP;1991;17.0;54.0;30.0;28;;;9.0;;5.0;;;49.0;2.0;19;2;
27;AL;1991;234.0;665.0;239.0;219;;;99.0;;67.0;;;590.0;18.0;257;19;
12;AC;1991;56.0;106.0;59.0;53;;;38.0;;9.0;;;97.0;7.0;63;6;
26;PE;1991;1878.0;2944.0;1426.0;1325;;;1046.0;;232.0;;;2706.0;125.0;2008;100;
22;PI;1991;28.0;103.0;43.0;37;;;15.0;;11.0;;;92.0;3.0;31;6;
33;RJ;1991;3736.0;5055.0;2640.0;2484;;;2207.0;;370.0;;;4672.0;235.0;3979;154;
24;RN;1991;103.0;219.0;119.0;110;;;65.0;;17.0;;;202.0;6.0;109;9;
43;RS;1991;1031.0;1694.0;823.0;755;;;573.0;;156.0;;;1538.0;86.0;1117;68;
11;RO;1991;247.0;491.0;196.0;184;;;108.0;;33.0;;;455.0;17.0;265;11;
14;RR;1991;15.0;79.0;33.0;28;;;9.0;;9.0;;;70.0;3.0;18;5;
42;SC;1991;148.0;355.0;147.0;131;;;82.0;;38.0;;;317.0;17.0;165;16;
35;SP;1991;2912.0;9685.0;5601.0;5227;;;1972.0;;789.0;;;8896.0;226.0;3138;374;
28;SE;1991;168.0;317.0;131.0;118;;;4677.0;;21.0;;;287.0;8.0;179;13;
17;TO;1991;43.0;92.0;33.0;30;;;17.0;;9.0;;;83.0;3.0;46;3;
41;PR;1991;510.0;1225.0;519.0;459;;;266.0;;149.0;;;1073.0;52.0;562;60;
25;PB;1991;158.0;401.0;183.0;170;;;79.0;;40.0;;;361.0;22.0;180;13;
16;AP;1992;35.0;73.0;43.0;41;;;24.0;;4.0;;;69.0;3.0;38;2;
12;AC;1992;46.0;107.0;61.0;51;;;34.0;;13.0;;;94.0;7.0;53;10;
27;AL;1992;267.0;591.0;243.0;219;;;131.0;;53.0;;;538.0;17.0;284;24;
13;AM;1992;157.0;351.0;178.0;170;;;81.0;;26.0;;;321.0;7.0;168;8;
29;BA;1992;401.0;840.0;405.0;369;;;237.0;;79.0;;;758.0;26.0;428;36;
23;CE;1992;187.0;537.0;265.0;244;;;102.0;;42.0;;;493.0;14.0;202;20;
